ID,Skill_Title,Source_File,Insight_File,Summary
0019,Автономный Выбор Стека (Stack Selection),0019-autonomous_stack_selection_2025.md,0019-insight-stack_selection.md,"Simulated Architecture Reflection и CTO Mode для обоснованного выбора технологий."
0020,Библиография и Источники (arXiv),0020-bibliography.md,0020-insight-bibliography.md,"Список фундаментальных работ 2025-2026 и материалов Stanford CME295."
0021,Визуальные Тренды 2025-2026 (Visual Design),0021-visual_trends_2025.md,0021-insight-visual_trends.md,"Современная эстетика (Glassmorphism, Dark Mode) и микро-анимации мыслей агента."
0022,Самоэволюция и Мета-Оптимизация (Self-Evolving),0022-self_evolving_systems.md,0022-insight-self_evolving.md,"Meta-Prompting, самоисправление инструкций и интеграция DPO/GRPO опыта."
0023,Синтез Реалий (Reality Synthesis),0023-reality_synthesis_meta_skill.md,0023-insight-reality_synthesis.md,"World Models, кросс-доменный синтез паттернов и моделирование будущего через симуляции."
0024,Когнитивная Архитектура (Cognitive Architecture),0024-cognitive_architecture_design.md,0024-insight-cognitive_architecture.md,"Управление памятью, исполнительные функции и системный дизайн разума агента."
0025,Когнитивный Мониторинг (Cognitive Monitoring),0025-cognitive_monitoring_and_governance.md,0025-insight-cognitive_monitoring.md,"Саморефлексия, оценка уверенности и адаптивное управление ресурсами мышления."
0026,Когнитивные Инструменты (Cognitive Tools),0026-cognitive_tools_and_augmentation.md,0026-insight-cognitive_tools.md,"Средства расширения возможностей ИИ: валидаторы, симуляторы и ускорители инференса."
0027,Вычислительная Этика (Value Alignment),0027-value_alignment_and_ethics.md,0027-insight-ethics_alignment.md,"Конституционный ИИ, этический анализ последствий и ценностное выравнивание."
0028,Конфиденциальные Вычисления (Confidential Computing),0028-confidential_computing_tee_fhe.md,0028-insight-confidential_computing.md,"Приватность данных через TEE (анклавы) и FHE (гомоморфное шифрование)."
0029,Агентная Экономика (A2A Economy),0029-a2a_economy_and_micropayments.md,0029-insight-a2a_economy.md,"Автономные платежи между агентами, смарт-контракты и управление микро-бюджетами."
0030,Автономное Обучение (Recursive Skill Acquisition),0030-recursive_skill_acquisition.md,0030-insight-skill_acquisition.md,"Самостоятельное освоение новых API, написание инструментов и рекурсивное развитие."
0031,Аффективная Агентность (Affective Agency),0031-affective_agency_empathy.md,0031-insight-affective_agency.md,"Эмпатичный ИИ, распознавание эмоций и адаптация тона под пользователя."
0032,Кибер-Физическая Интеграция (Cyber-Physical Sync),0032-cyber_physical_sync_iot.md,0032-insight-cyber_physical.md,"Управление IoT-устройствами, робототехникой (ROS) и цифровыми двойниками."
0033,Темпоральное Прогнозирование (Temporal Forecasting),0033-temporal_forecasting_predictive.md,0033-insight-forecasting.md,"Анализ временных рядов, предсказание сбоев и превентивное решение проблем."
0034,Глубинная Интерпретируемость (Deep Interpretability),0034-deep_interpretability_audit.md,0034-insight-interpretability.md,"Аудит логики моделей, вскрытие черного ящика и борьба с галлюцинациями."
0035,Агентное Управление (Agentic Governance),0035-agentic_governance_and_dao.md,0035-insight-governance.md,"Роевое управление, AI-DAO и криптографическая фидуциарная ответственность."
0036,Когнитивные Интерфейсы (Cognitive Interfaces),0036-cognitive_interfaces_hci.md,0036-insight-cognitive_interfaces.md,"Интерфейсы, адаптирующиеся под когнитивную нагрузку и намерения пользователя."
0037,Синергитическая Автоматизация (Synergistic Automation),0037-synergistic_automation_swarms.md,0037-insight-synergistic_automation.md,"Эмерджентная автоматизация через рои агентов и самозалечивающиеся процессы."
0038,Оркестрирование Навыков (Skill Orchestration),0038-agentic_skill_orchestration.md,0038-insight-skill_orchestration.md,"Мета-агент для подбора и настройки наборов навыков под специфику задач."
0039,Типология Project Map,0039-project_map_typology.md,0039-insight-project_map_typology.md,"Система классификации архитектурных планов для разных типов ИИ-проектов."
